指标名称,指标编码/ID,指标描述,负责人/维护人,数据来源表/视图,参考日期/事件时间字段,过滤条件,事实字段/核心度量字段,算法/聚合方式,维度字段,计算逻辑详细说明,计算粒度,单位,典型统计周期,更新频率,应用场景,业务规则备注,依赖指标,创建日期,修订历史 
长期高损综合评分,LONG_TERM_HIGH_LOSS_SCORE,综合评估台区长期高损风险的评分,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, C_AR_CT_PT_CHANGE_LOG, 户变关系变更记录, 异常用电大宽表",STATIS_DATE,TQ_HIGH_LOSS_DAYS > 30,"LOSS_RATIO, GM_CT_ABNORMAL_RATIO, GM_METER_RELATION_ERROR, GM_THEFT_DETECTION, GM_CLOCK_SYNC_DEVIATION, GM_SUPPLY_RADIUS_SCORE","0.3*NORM(LOSS_RATIO) + 0.15*NORM(GM_CT_ABNORMAL_RATIO) + 0.15*NORM(GM_METER_RELATION_ERROR) + 0.15*NORM(GM_THEFT_DETECTION) + 0.1*NORM(GM_CLOCK_SYNC_DEVIATION) + 0.15*NORM(GM_SUPPLY_RADIUS_SCORE)",REGION_ID,"综合各项指标，通过加权平均计算长期高损风险评分，评分越高表明长期高损风险越大",台区,分,月/季/年,日更新,线损异常分析,评分高的台区需优先排查,,2023-05-20,
突发高损检测,SUDDEN_HIGH_LOSS_DETECTION,检测台区线损率的突发性增长,系统管理员,M_ENERGY_STATIS_REGION_DAILY,STATIS_DATE,(LOSS_RATIO - PREV_LOSS_RATIO) > SUDDEN_INCREASE_THRESHOLD,"LOSS_RATIO, PREV_LOSS_RATIO",LOSS_RATIO - AVG(LOSS_RATIO OVER PREV_5_DAYS),REGION_ID,"计算当日线损率与前5天平均线损率的差值，差值超过阈值（如5%）则判定为突发高损",台区,%,日,日更新,线损异常分析,突发高损需要及时处理,,2023-05-20,
CT倍率突变异常指标(总表),GM_CT_SUDDEN_ABNORMAL,总表CT倍率突变异常评分,系统管理员,"C_AR_CT_PT_CHANGE_LOG, M_ENERGY_STATIS_REGION_DAILY","CHANGE_TIME, STATIS_DATE",CT_PT_TYPE = 'CT' AND IsGM = 1 AND DATEDIFF(STATIS_DATE, CHANGE_TIME) <= 3,"NEW_RATE/OLD_RATE, LOSS_RATIO",ABS((NEW_RATE/OLD_RATE) - 1) * 100,REGION_ID,"计算总表CT倍率变更前后的倍率变化幅度，同时检测变更后3天内线损率是否有显著变化",台区,%,日,实时更新,突发高损原因分析,CT倍率突变往往导致突发高损,,2023-05-20,
CT倍率突变异常指标(分表),SM_CT_SUDDEN_ABNORMAL,分表CT倍率突变异常评分,系统管理员,"C_AR_CT_PT_CHANGE_LOG, M_Data_View_Daily","CHANGE_TIME, FreezeDate",CT_PT_TYPE = 'CT' AND IsGM = 0 AND DATEDIFF(FreezeDate, CHANGE_TIME) <= 3,"NEW_RATE/OLD_RATE, Usage",ABS((NEW_RATE/OLD_RATE) - 1) * 100,MeterNo,"计算分表CT倍率变更前后的倍率变化幅度，同时检测变更后3天内用电量是否有显著变化",用户表,%,日,实时更新,突发高损原因分析,CT倍率突变往往导致突发高损,,2023-05-20,
户表关系突变指标(总表),GM_RELATION_SUDDEN_CHANGE,总表关联户表突变程度,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, 户变关系变更记录","STATIS_DATE, CHANGE_TIME",DATEDIFF(STATIS_DATE, CHANGE_TIME) <= 3,"LOSS_RATIO, CHANGE_COUNT",LOSS_RATIO - PRE_CHANGE_LOSS_RATIO,REGION_ID,"计算户表关系变更前后线损率的变化幅度，变更后线损率显著增加表明可能存在户表关系错误",台区,%,日,日更新,突发高损原因分析,户表关系变更后需密切关注台区线损率变化,,2023-05-20,
户表关系突变指标(分表),SM_RELATION_SUDDEN_CHANGE,分表关联台区突变程度,系统管理员,"M_Data_View_Daily, 户变关系变更记录","FreezeDate, CHANGE_TIME",DATEDIFF(FreezeDate, CHANGE_TIME) <= 3,"Usage, CHANGE_TYPE",COUNT(DISTINCT MeterNo),"AreaId, NEW_REGION_ID, OLD_REGION_ID","统计台区内近期变更关系的电表数量，变更数量过多且集中在短期内可能导致突发高损",台区,个,日,日更新,突发高损原因分析,户表关系集中变更后需密切关注,,2023-05-20,
用电负荷突增指标(总表),GM_LOAD_SURGE,总表用电负荷突增程度,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, 台区变压器负载数据",STATIS_DATE,LOAD_RATE > PREV_AVG_LOAD_RATE * 1.5,"LOAD_RATE, SUPPLIED",LOAD_RATE / AVG(LOAD_RATE OVER PREV_7_DAYS),REGION_ID,"计算当日负荷率与前7天平均负荷率的比值，比值超过1.5表明负荷突增",台区,倍,日,日更新,突发高损原因分析,负荷突增会导致线损增加，但不一定是异常,,2023-05-20,
用电负荷突增指标(分表),SM_LOAD_SURGE,分表用电负荷突增程度,系统管理员,M_Data_View_Daily,FreezeDate,Usage > AVG_PREV_USAGE * 2,Usage,Usage / AVG(Usage OVER PREV_7_DAYS),MeterNo,"计算当日用电量与前7天平均用电量的比值，比值超过2表明用电量突增",用户表,倍,日,日更新,突发高损原因分析,需关注是否有特殊用电需求,,2023-05-20,
窃电行为突增指标(总表),GM_THEFT_SURGE,总表窃电行为突然增加程度,系统管理员,M_ENERGY_STATIS_REGION_DAILY,STATIS_DATE,IsGM = 1,"LOSS_RATIO, TECH_LOSS_RATIO",(LOSS_RATIO - TECH_LOSS_RATIO) - AVG(LOSS_RATIO - TECH_LOSS_RATIO OVER PREV_7_DAYS),REGION_ID,"计算当日实际线损率与理论线损率差值相较前7天平均差值的增量，增量突然增大表明可能有新增窃电行为",台区,%,日,日更新,突发高损原因分析,窃电行为突增需立即处理,,2023-05-20,
窃电行为突增指标(分表),SM_THEFT_SURGE,分表窃电行为突然增加程度,系统管理员,异常用电大宽表,FreezeDay,IsGM = 0,"Event-269, Event-287, Event-289, Event-297",COUNT(Event-269 OR Event-287 OR Event-289 OR Event-297),"MeterNo, AreaId","统计近3天内电表CT短接/旁路、表盖打开等窃电相关事件的新增发生次数，短期内突然增加表明可能有新增窃电行为",用户表,次,日,日更新,突发高损原因分析,窃电行为突增需立即处理,,2023-05-20,
恶劣天气影响指标(总表),GM_WEATHER_IMPACT,总表受恶劣天气影响程度,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, 天气数据表","STATIS_DATE, WEATHER_DATE",WEATHER_CONDITION IN ('暴雨', '台风', '雷暴', '冰雪') AND DATEDIFF(STATIS_DATE, WEATHER_DATE) <= 1,"LOSS_RATIO, WEATHER_SEVERITY",LOSS_RATIO - AVG(LOSS_RATIO OVER PREV_NORMAL_DAYS),"REGION_ID, WEATHER_CONDITION","计算恶劣天气期间线损率与正常天气期间线损率的差值，差值过大表明天气对线损有显著影响",台区,%,日,日更新,突发高损原因分析,恶劣天气如暴雨、雷暴等往往导致线损率暂时升高,,2023-05-20,
恶劣天气影响指标(分表),SM_WEATHER_IMPACT,分表受恶劣天气影响程度,系统管理员,"M_Data_View_Daily, 天气数据表, 异常用电大宽表","FreezeDate, WEATHER_DATE",WEATHER_CONDITION IN ('暴雨', '台风', '雷暴', '冰雪') AND DATEDIFF(FreezeDate, WEATHER_DATE) <= 1,"Event-2001, Event-2002, Event-2003",COUNT(Event-2001 OR Event-2002 OR Event-2003),"MeterNo, AreaId","统计恶劣天气期间电表电压异常、信号中断等事件的发生次数，频繁发生表明天气对计量设备有显著影响",用户表,次,日,日更新,突发高损原因分析,恶劣天气影响会在天气恢复后自动消除,,2023-05-20,
计量装置接线错误指标(总表),GM_WIRING_ERROR,总表计量装置接线错误程度,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, 异常用电大宽表",STATIS_DATE,IsGM = 1,"Power_Factor, LOSS_RATIO",ABS(Power_Factor - NORMAL_POWER_FACTOR),REGION_ID,"计算功率因数与正常值的偏差，同时线损率突然变化，表明可能存在接线错误",台区,无量纲,日,日更新,突发高损原因分析,接线错误通常在设备安装或维护后出现,,2023-05-20,
计量装置接线错误指标(分表),SM_WIRING_ERROR,分表计量装置接线错误程度,系统管理员,"M_Data_View_Daily, 异常用电大宽表",FreezeDate,IsGM = 0,"Event-1025, Event-1026, Event-1027, Power_Factor",COUNT(Event-1025 OR Event-1026 OR Event-1027),MeterNo,"统计相序异常、接线错误等事件的发生次数，同时考虑功率因数异常情况，可能表明存在接线错误",用户表,次,日,日更新,突发高损原因分析,需现场核查确认,,2023-05-20,
时钟同步突变指标(总表),GM_CLOCK_SYNC_SUDDEN,总表时钟同步突然异常程度,系统管理员,异常用电大宽表,FreezeDay,IsGM = 1,"Event-1538, Event-12803, Time_Diff",MAX(ABS(Time_Diff)),AreaId,"计算总表与系统时间的最大偏差，同时统计时钟同步相关事件，突然出现大幅偏差可能导致计量不准确",台区,分钟,日,日更新,突发高损原因分析,时钟同步问题会导致计量不准确,,2023-05-20,
时钟同步突变指标(分表),SM_CLOCK_SYNC_SUDDEN,分表时钟同步突然异常程度,系统管理员,异常用电大宽表,FreezeDay,IsGM = 0,"Event-1538, Event-12803, Time_Diff",COUNT(MeterNo WHERE ABS(Time_Diff) > 10),AreaId,"统计时钟偏差大于10分钟的电表数量，短期内突然增多表明可能存在系统性时钟同步问题",台区,个,日,日更新,突发高损原因分析,时钟同步问题会导致计量不准确,,2023-05-20,
突发高损综合评分,SUDDEN_HIGH_LOSS_SCORE,综合评估台区突发高损风险的评分,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, C_AR_CT_PT_CHANGE_LOG, 户变关系变更记录, 异常用电大宽表, 天气数据表",STATIS_DATE,SUDDEN_HIGH_LOSS_DETECTION > 0,"GM_CT_SUDDEN_ABNORMAL, GM_RELATION_SUDDEN_CHANGE, GM_LOAD_SURGE, GM_THEFT_SURGE, GM_WEATHER_IMPACT, GM_WIRING_ERROR, GM_CLOCK_SYNC_SUDDEN","0.2*NORM(GM_CT_SUDDEN_ABNORMAL) + 0.15*NORM(GM_RELATION_SUDDEN_CHANGE) + 0.15*NORM(GM_LOAD_SURGE) + 0.15*NORM(GM_THEFT_SURGE) + 0.1*NORM(GM_WEATHER_IMPACT) + 0.15*NORM(GM_WIRING_ERROR) + 0.1*NORM(GM_CLOCK_SYNC_SUDDEN)",REGION_ID,"综合各项指标，通过加权平均计算突发高损风险评分，评分越高表明突发高损风险越大",台区,分,日,日更新,线损异常分析,评分高的台区需优先排查,SUDDEN_HIGH_LOSS_DETECTION,2023-05-20,
台区负损持续天数,TQ_NEGATIVE_LOSS_DAYS,台区线损率连续低于负阈值的天数,系统管理员,M_ENERGY_STATIS_REGION_DAILY,STATIS_DATE,LOSS_RATIO < NEGATIVE_LOSS_THRESHOLD,LOSS_RATIO,COUNT(DISTINCT STATIS_DATE),REGION_ID,"计算特定台区连续低于负阈值的天数，如果连续天数超过90天，则标记为长期负损",台区,天,月/季/年,日更新,线损异常分析,通常负线损率阈值为-3%,,2023-05-20,
台区小负损持续天数,TQ_SMALL_NEGATIVE_LOSS_DAYS,台区线损率连续处于小负损范围的天数,系统管理员,M_ENERGY_STATIS_REGION_DAILY,STATIS_DATE,-3% < LOSS_RATIO < 0%,LOSS_RATIO,COUNT(DISTINCT STATIS_DATE),REGION_ID,"计算特定台区线损率连续处于小负值范围（-3%至0%）的天数，如果连续天数超过60天，则标记为长期小负损",台区,天,月/季/年,日更新,线损异常分析,小负损范围定义为-3%至0%之间,,2023-05-20,
CT倍率异常负损指标(总表),GM_CT_NEGATIVE_ABNORMAL,总表CT倍率异常导致负损评分,系统管理员,"C_AR_CT_PT_CHANGE_LOG, M_ENERGY_STATIS_REGION_DAILY",CHANGE_TIME,CT_PT_TYPE = 'CT' AND IsGM = 1,NEW_RATE/OLD_RATE,AVG(),REGION_ID,"计算总表CT倍率变更前后的供电量/用电量比值变化，变更后线损率显著降低表明可能存在CT倍率设置异常导致负损",台区,%,月/季/年,日更新,线损异常分析,负损与CT倍率变更高度相关,,2023-05-20,
CT倍率异常负损指标(分表),SM_CT_NEGATIVE_ABNORMAL,分表CT倍率异常导致负损评分,系统管理员,"C_AR_CT_PT_CHANGE_LOG, M_Data_View_Daily",CHANGE_TIME,CT_PT_TYPE = 'CT' AND IsGM = 0,NEW_RATE/OLD_RATE,AVG(),REGION_ID,"计算分表CT倍率变更前后的用电量变化，变更后分表用电量显著增加表明可能存在CT倍率设置异常导致台区负损",台区,%,月/季/年,日更新,线损异常分析,CT倍率变更需谨慎核对,,2023-05-20,
台区户表关系负损指标(总表),GM_RELATION_NEGATIVE_ERROR,总表关联户表错误导致负损程度,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, 户变关系变更记录",STATIS_DATE,"REGION_ID, IsGM = 1, LOSS_RATIO < 0",CONSUMED/SUPPLIED,CORR(CONSUMED, SUPPLIED),REGION_ID,"计算台区总表供电量与分表总用电量的相关性，相关性高但供电量小于用电量表明可能存在户表关系错误导致负损",台区,相关系数,月/季/年,日更新,线损异常分析,户表关系对负损影响显著,,2023-05-20,
台区户表关系负损指标(分表),SM_RELATION_NEGATIVE_ERROR,分表关联台区错误导致负损程度,系统管理员,"M_Data_View_Daily, 户变关系变更记录",FreezeDate,"AreaId, IsGM = 0",Usage,SUM(Usage) / RELATED_REGION_SUPPLIED,"AreaId, MeterNo","计算分表用电量总和与所属台区供电量的比值，比值大于1表明可能有不属于该台区的分表被错误关联，导致负损",用户表,%,月/季/年,日更新,线损异常分析,需排查不属于本台区的错误关联分表,,2023-05-20,
计量装置接线负损指标(总表),GM_WIRING_NEGATIVE_ERROR,总表计量装置接线错误导致负损程度,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, 异常用电大宽表",STATIS_DATE,"IsGM = 1, LOSS_RATIO < 0","Power_Factor, LOSS_RATIO",ABS(Power_Factor - EXPECTED_POWER_FACTOR),REGION_ID,"计算实际功率因数与预期功率因数的偏差，同时检测反向功率记录，偏差大且有反向功率记录表明可能存在接线错误导致负损",台区,无量纲,月/季/年,日更新,线损异常分析,接线错误常见于维护后或设备更换后,,2023-05-20,
计量装置接线负损指标(分表),SM_WIRING_NEGATIVE_ERROR,分表计量装置接线错误导致负损程度,系统管理员,"M_Data_View_Daily, 异常用电大宽表",FreezeDate,"IsGM = 0, LOSS_RATIO < 0","Event-1025, Event-1026, Event-1027, Power_Factor, Reversed_Energy",COUNT(Event-1025 OR Event-1026 OR Event-1027) + COUNT(Reversed_Energy > 0),MeterNo,"统计相序异常、接线错误等事件的发生次数及反向电量记录，频繁出现表明可能存在接线错误导致负损",用户表,次,月/季/年,日更新,线损异常分析,分表接线错误累积可导致台区负损,,2023-05-20,
电表正反相设置负损指标(总表),GM_PHASE_NEGATIVE_ERROR,总表相位设置错误导致负损程度,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, 异常用电大宽表",STATIS_DATE,"IsGM = 1, LOSS_RATIO < 0","Phase_Settings, Reversed_Energy",COUNT(Reversed_Energy > 0) / COUNT(*),REGION_ID,"计算总表反向电量记录占比，占比高表明可能存在相位设置错误导致电量计量方向错误，引起负损",台区,%,月/季/年,日更新,线损异常分析,需排查总表相位设置与实际用电方向是否一致,,2023-05-20,
电表正反相设置负损指标(分表),SM_PHASE_NEGATIVE_ERROR,分表相位设置错误导致负损程度,系统管理员,"M_Data_View_Daily, 异常用电大宽表",FreezeDate,"IsGM = 0, Has_Distributed_Generation = 0","Phase_Settings, Reversed_Energy",SUM(Reversed_Energy) / SUM(Total_Energy),MeterNo,"计算非分布式能源用户分表的反向电量占比，占比高表明可能存在相位设置错误导致电量计量方向错误，引起台区负损",用户表,%,月/季/年,日更新,线损异常分析,分表相位设置错误可导致台区整体负损,,2023-05-20,
分布式能源反向计量负损指标(总表),GM_DER_NEGATIVE_METERING,总表分布式能源反向计量异常程度,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, 异常用电大宽表",STATIS_DATE,"IsGM = 1, Has_Distributed_Generation = 1","Reversed_Energy, LOSS_RATIO",CORR(Reversed_Energy, LOSS_RATIO),REGION_ID,"计算总表反向电量与线损率的相关性，相关性为负且强表明可能存在分布式能源反向计量异常导致负损",台区,相关系数,月/季/年,日更新,线损异常分析,需核实分布式能源并网台区的计量配置,,2023-05-20,
分布式能源反向计量负损指标(分表),SM_DER_NEGATIVE_METERING,分表分布式能源反向计量异常程度,系统管理员,"M_Data_View_Daily, 异常用电大宽表",FreezeDate,"IsGM = 0, Has_Distributed_Generation = 1","Reversed_Energy, Energy_Direction_Setting",COUNT(Reversed_Energy > 0 AND Energy_Direction_Setting != 'BIDIRECTIONAL'),MeterNo,"统计具有分布式能源的分表中，有反向电量记录但未设置为双向计量的电表数量，数量多表明可能存在反向计量配置错误导致台区负损",用户表,个,月/季/年,日更新,线损异常分析,分布式能源用户需正确配置双向计量,,2023-05-20,
时钟同步负损指标(总表),GM_CLOCK_NEGATIVE_DEVIATION,总表时钟同步偏差导致负损程度,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, 异常用电大宽表",STATIS_DATE,"IsGM = 1, LOSS_RATIO < 0","Event-1538, Event-12803, Time_Diff, LOSS_RATIO",CORR(ABS(Time_Diff), LOSS_RATIO),REGION_ID,"计算总表时钟偏差绝对值与线损率的相关性，相关性为负且强表明可能存在时钟同步偏差导致负损",台区,相关系数,月/季/年,日更新,线损异常分析,时钟同步问题导致用电量计算错误,,2023-05-20,
时钟同步负损指标(分表),SM_CLOCK_NEGATIVE_DEVIATION,分表时钟同步偏差导致负损程度,系统管理员,异常用电大宽表,FreezeDay,"IsGM = 0, REGION_LOSS_RATIO < 0","Event-1538, Event-12803, Time_Diff",AVG(Time_Diff),MeterNo,"计算分表时钟偏差的平均值，平均值远离0且与总表偏差方向相反表明可能存在时钟同步偏差导致台区负损",用户表,分钟,月/季/年,日更新,线损异常分析,分表与总表时钟偏差方向相反可能导致负损,,2023-05-20,
CT小负损异常指标(总表),GM_CT_SMALL_NEGATIVE_ABNORMAL,总表CT倍率异常导致小负损评分,系统管理员,"C_AR_CT_PT_CHANGE_LOG, M_ENERGY_STATIS_REGION_DAILY",CHANGE_TIME,"CT_PT_TYPE = 'CT' AND IsGM = 1 AND -3% < LOSS_RATIO < 0%",NEW_RATE/OLD_RATE,AVG(),REGION_ID,"计算总表CT倍率变更前后供用电比值变化，变更后线损率进入小负损范围（-3%至0%）表明可能存在CT倍率设置异常导致小负损",台区,%,月/季/年,日更新,线损异常分析,CT倍率微小变化也会导致小负损,,2023-05-20,
CT小负损异常指标(分表),SM_CT_SMALL_NEGATIVE_ABNORMAL,分表CT倍率异常导致小负损评分,系统管理员,"C_AR_CT_PT_CHANGE_LOG, M_Data_View_Daily",CHANGE_TIME,"CT_PT_TYPE = 'CT' AND IsGM = 0 AND -3% < REGION_LOSS_RATIO < 0%",NEW_RATE/OLD_RATE,AVG(),REGION_ID,"计算分表CT倍率变更前后用电量变化，变更后台区线损率进入小负损范围（-3%至0%）表明可能存在CT倍率设置异常导致小负损",台区,%,月/季/年,日更新,线损异常分析,应关注5-10%的倍率变化,,2023-05-20,
户表关系小负损指标(总表),GM_RELATION_SMALL_NEGATIVE_ERROR,总表关联户表错误导致小负损程度,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, 户变关系变更记录",STATIS_DATE,"REGION_ID, IsGM = 1, -3% < LOSS_RATIO < 0%",CONSUMED/SUPPLIED,CORR(CONSUMED, SUPPLIED),REGION_ID,"计算台区总表供电量与分表总用电量的相关性，相关性高但供电量略小于用电量表明可能存在户表关系错误导致小负损",台区,相关系数,月/季/年,日更新,线损异常分析,户表关系微小错误可导致小负损,,2023-05-20,
户表关系小负损指标(分表),SM_RELATION_SMALL_NEGATIVE_ERROR,分表关联台区错误导致小负损程度,系统管理员,"M_Data_View_Daily, 户变关系变更记录",FreezeDate,"AreaId, IsGM = 0, -3% < REGION_LOSS_RATIO < 0%",Usage,SUM(Usage) / RELATED_REGION_SUPPLIED,"AreaId, MeterNo","计算分表用电量总和与所属台区供电量的比值，比值在1.00-1.03之间表明可能有少量不属于该台区的分表被错误关联，导致小负损",用户表,%,月/季/年,日更新,线损异常分析,关注用电量比值在1.00-1.03之间的台区,,2023-05-20,
分布式能源小负损指标(总表),GM_DER_SMALL_NEGATIVE_METERING,总表分布式能源反向计量导致小负损评分,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, 异常用电大宽表",STATIS_DATE,"IsGM = 1, Has_Distributed_Generation = 1, -3% < LOSS_RATIO < 0%","Reversed_Energy, LOSS_RATIO",SUM(Reversed_Energy) / SUPPLIED,REGION_ID,"计算总表反向电量占供电量的比例，反向电量占比较小且线损率为小负值表明可能存在分布式能源计量配置问题导致小负损",台区,%,月/季/年,日更新,线损异常分析,关注反向电量占比在0-3%的台区,,2023-05-20,
分布式能源小负损指标(分表),SM_DER_SMALL_NEGATIVE_METERING,分表分布式能源反向计量导致小负损评分,系统管理员,"M_Data_View_Daily, 异常用电大宽表",FreezeDate,"IsGM = 0, Has_Distributed_Generation = 1, -3% < REGION_LOSS_RATIO < 0%","Reversed_Energy, Energy_Direction_Setting",COUNT(Reversed_Energy > 0 AND Energy_Direction_Setting = 'UNIDIRECTIONAL') / COUNT(Has_Distributed_Generation = 1),MeterNo,"计算具有分布式能源的分表中，有少量反向电量记录但设置为单向计量的电表占比，占比高表明可能存在反向计量配置不当导致小负损",用户表,%,月/季/年,日更新,线损异常分析,单向计量设置可能无法正确处理少量的反向电量,,2023-05-20,
时钟同步小负损指标(总表),GM_CLOCK_SMALL_NEGATIVE_DEVIATION,总表时钟同步偏差导致小负损程度,系统管理员,"M_ENERGY_STATIS_REGION_DAILY, 异常用电大宽表",STATIS_DATE,"IsGM = 1, -3% < LOSS_RATIO < 0%","Event-1538, Event-12803, Time_Diff, LOSS_RATIO",AVG(ABS(Time_Diff)),REGION_ID,"计算总表时钟偏差的平均绝对值，偏差在5-10分钟且线损率为小负值表明可能存在时钟同步偏差导致小负损",台区,分钟,月/季/年,日更新,线损异常分析,时钟偏差在5-10分钟范围可能导致小负损,,2023-05-20,
时钟同步小负损指标(分表),SM_CLOCK_SMALL_NEGATIVE_DEVIATION,分表时钟同步偏差导致小负损程度,系统管理员,异常用电大宽表,FreezeDay,"IsGM = 0, -3% < REGION_LOSS_RATIO < 0%","Event-1538, Event-12803, Time_Diff",COUNT(5 < ABS(Time_Diff) < 10) / COUNT(*),MeterNo,"计算分表时钟偏差在5-10分钟范围内的电表占比，占比高且台区线损率为小负值表明可能存在时钟同步偏差导致小负损",用户表,%,月/季/年,日更新,线损异常分析,少量分表的时钟偏差可能累积导致小负损,,2023-05-20,
